# number	RA[deg]	dec[deg]	Vmagnitude
586	30.575417	54.487500	5.04
587	29.692500	-60.430278	2.86
588	31.380000	76.115000	5.22
589	28.960417	-77.651667	6.16
590	30.311250	-29.998333	5.35
591	30.511667	2.763611	5.23
592	30.511667	2.763611	4.33
593	32.355417	81.295833	6.05
594	31.167083	65.103333	6.52
595	30.741667	33.283889	5.50
596	29.921250	-65.933611	6.10
597	30.646667	13.476667	5.94
598	30.426667	-43.286389	5.14
599	30.975000	42.329722	2.26
600	30.977917	42.330833	4.84
601	30.913750	25.935556	5.63
602	30.617083	-28.335000	6.42
603	30.798750	0.128333	5.43
604	30.744167	-14.694167	5.86
605	30.927500	18.253333	6.21
606	30.950833	0.340278	5.93
607	30.918750	-3.896389	5.62
608	31.122500	-28.703056	4.69
609	31.641250	22.648333	5.03
610	31.551250	8.247500	6.31
611	31.705000	25.704722	6.15
612	31.622083	0.035000	6.28
613	31.793333	23.462500	2.00
614	32.168750	58.423611	5.67
615	32.140000	44.459444	6.42
616	32.122083	37.859167	4.82
617	32.532500	53.843056	6.31
618	32.385833	34.987222	3.00
619	32.355417	25.939722	4.98
620	32.346250	17.224444	6.43
621	32.190417	-16.220556	6.10
622	33.338333	74.027778	6.29
623	32.870833	57.645833	6.36
624	32.720000	39.039444	5.63
625	32.723750	39.043056	6.10
626	32.395000	-23.654167	6.48
627	32.656667	19.500278	5.70
628	32.288750	-42.483333	5.85
629	32.800000	25.936944	6.02
630	32.854167	31.526389	6.23
631	32.837917	8.569722	5.63
632	32.520417	-42.184444	6.32
633	32.606667	-49.175556	6.12
634	32.842500	-9.947778	6.01
635	32.899167	-0.174722	5.93
636	33.621250	66.524444	6.07
637	33.422917	58.561111	6.44
638	33.092917	30.303056	4.94
639	33.305417	44.231667	4.83
640	33.156250	24.167778	5.96
641	33.401250	51.065833	5.31
642	33.200417	21.210833	5.27
643	33.510833	47.484167	6.06
644	33.263750	15.279722	5.71
645	33.250000	8.846667	4.37
646	33.197917	-1.606389	5.54
647	33.253750	-20.999722	5.86
648	33.227083	-29.276111	5.28
649	33.991250	47.811389	6.33
650	34.215417	57.055278	6.48
651	33.984167	33.358889	5.28
652	33.941667	25.783056	5.79
653	33.928333	25.043056	5.58
654	33.867917	-8.534444	6.55
655	33.633333	-40.833333	5.91
656	34.263333	34.224167	4.87
657	34.499583	57.899722	5.75
658	34.518750	57.516667	5.98
659	34.389167	44.306944	6.70
660	34.328750	33.847222	4.01
661	34.293333	23.767778	6.55
662	34.245833	-5.577778	5.51
663	33.561250	-66.158333	5.55
664	35.053750	64.337222	6.60
665	34.531250	19.901111	5.62
666	34.820000	47.380000	5.30
667	34.795417	46.472500	6.21
668	34.505833	1.757778	5.58
669	34.844583	48.955278	6.37
670	34.127500	-50.487778	3.56
671	34.737500	28.642500	5.03
672	34.741667	23.167778	6.46
673	34.905417	39.835000	6.63
674	33.868750	-66.253611	5.69
675	35.172500	47.310833	6.11
676	35.018333	30.188333	6.47
677	34.836250	-1.022500	3.04
678	35.242500	50.151389	5.59
679	34.743750	-24.054444	6.34
680	34.920000	-3.654444	6.50
681	35.589167	55.845556	5.17
682	34.852917	-40.151667	6.37
683	35.709583	41.396389	5.82
684	34.976250	-54.055278	5.81
685	35.485833	0.395833	5.28
686	35.965833	55.364444	6.28
687	35.551667	0.885000	5.42
688	35.505833	-9.222222	5.46
689	35.520833	-16.337778	5.87
690	36.103750	50.006667	5.19
691	35.635833	-22.183611	5.20
692	36.316667	56.610000	6.25
693	35.740833	-17.645556	6.22
694	35.549167	-42.800000	6.31
695	36.405833	50.278611	4.71
696	35.777083	-36.423611	6.53
697	35.727500	-50.907778	5.92
698	36.204167	10.610556	5.47
699	36.083750	-24.152500	6.44
700	36.243333	-1.220000	6.33
701	35.437083	-67.340556	4.09
702	36.140833	-39.159444	6.18
703	37.266667	67.402500	4.52
704	36.487500	-11.709444	4.89
705	36.965833	50.569722	6.12
706	36.501250	-14.658889	5.83
707	36.779167	27.013333	6.18
708	36.865417	31.801389	5.54
709	36.646667	-19.957222	5.88
710	36.224583	-59.688056	5.35
711	35.717917	-72.354167	5.01
712	37.354167	55.536389	6.51
713	37.041667	29.669444	5.29
714	37.039583	8.460000	4.28
715	37.000000	1.960833	6.45
716	37.202083	29.931944	5.89
717	36.746250	-46.296111	4.25
718	36.359583	-65.505278	6.41
719	37.306667	23.468889	6.19
720	37.007083	-32.188889	5.14
721	37.397083	9.565833	6.07
722	37.569167	33.833889	6.25
723	37.147500	-30.897500	6.11
724	37.635000	25.235000	5.92
725	37.660000	19.855278	6.15
726	37.480833	-21.317222	6.77
727	37.726667	17.703889	6.23
728	37.688333	0.255278	6.00
729	37.557500	-24.813611	6.51
730	37.018333	-63.700278	6.37
731	37.636667	-21.454444	6.10
732	38.025833	36.147222	5.15
733	37.875417	2.267222	5.25
734	38.218750	34.542500	5.83
735	38.039167	-0.965000	5.35
736	38.021667	-14.755278	4.75
737	38.225417	15.034722	6.04
738	38.061667	-35.572500	6.30
739	39.508333	72.818333	5.16
740	38.279167	-33.350000	5.90
741	38.417500	-19.998056	6.21
742	38.866250	39.664444	6.36
743	39.400417	65.745556	5.78
744	38.911667	37.312222	5.71
745	38.461250	-27.767500	4.90
746	38.945000	34.687500	5.35
747	38.767083	7.471389	6.18
748	38.677917	-6.140556	5.75
749	39.020417	6.886944	5.82
750	38.968750	5.593333	4.86
751	38.477500	-50.906389	6.24
752	39.238333	38.732778	5.90
753	39.178750	31.607500	6.10
754	39.260417	34.263889	5.30
755	39.000000	-6.168333	5.53
756	39.336667	39.895833	6.54
757	39.276667	32.891944	6.25
758	38.390000	-61.413056	6.77
759	39.157917	12.447500	5.68
760	39.240417	24.648333	7.09
761	39.252083	24.647500	6.50
762	39.146250	7.729722	5.81
763	39.038750	-29.955278	5.75
764	39.574167	37.726667	6.18
765	39.615833	38.089444	6.30
766	39.503333	7.695278	6.39
767	39.424167	-2.603889	5.65
768	39.244167	-33.421667	5.79
769	39.704167	21.961389	5.43
770	41.948333	81.448333	5.78
771	39.653750	3.443056	6.21
772	37.918750	-78.890556	5.28
773	39.577917	-29.805833	5.83
774	39.351667	-51.456944	5.31
775	39.870833	0.328611	4.07
776	39.603333	-36.009444	6.49
777	39.890833	-10.127778	4.84
778	40.171250	27.060833	5.30
779	40.065417	6.111944	6.25
780	40.051250	-8.546944	5.78
781	40.761667	55.105833	5.77
782	40.010417	-29.366111	6.52
783	40.748750	53.526111	5.84
784	40.562083	40.193889	4.91
785	39.950000	-41.108333	4.75
786	40.307917	0.695833	5.71
787	41.207083	67.824722	5.95
788	40.757917	48.265556	6.48
789	40.591667	20.011667	5.69
790	40.166667	-38.144444	4.11
791	40.451250	-2.786667	6.05
792	40.391667	-13.450556	5.98
793	40.620417	10.741667	6.30
794	39.882083	-63.718056	6.55
795	41.050000	49.228333	4.12
796	41.021667	44.296944	5.43
797	40.862917	27.707222	4.66
798	40.165000	-53.450000	5.21
799	40.963333	25.638056	6.35
800	40.825000	3.235833	3.47
801	40.527500	-37.616111	6.01
802	39.897500	-67.733056	4.11
803	40.535417	-45.475556	6.10
804	41.079583	17.763889	6.46
805	41.137083	15.311667	5.77
806	40.639583	-49.199722	5.41
807	41.030833	-12.141389	4.25
808	41.240000	12.445833	5.18
809	41.235417	10.114167	4.27
810	40.834583	-39.472500	6.36
811	42.231250	69.634167	6.18
812	41.337083	4.711667	6.03
813	41.085417	-31.475000	6.22
814	41.275833	-17.427500	4.47
815	41.742917	35.983611	6.25
816	41.764583	35.555000	6.30
817	41.044583	-51.429444	6.15
818	41.318750	-45.712778	6.85
819	40.860833	-65.285556	6.26
820	41.977083	29.247222	4.51
821	42.378333	57.084167	6.25
822	41.688333	-20.360278	6.49
823	41.796667	-21.514444	6.47
824	42.133750	18.283611	5.82
825	42.994583	68.888611	5.80
826	42.191250	25.188056	5.86
827	42.362917	37.326111	6.45
828	41.983333	-11.539444	6.90
829	41.364583	-62.295556	5.74
830	42.674167	55.895556	3.76
831	41.890417	-34.449167	6.51
832	42.322917	17.464167	5.22
833	41.385833	-66.383333	4.84
834	42.495833	27.260556	3.63
835	42.939583	58.314722	6.45
836	42.646250	38.318611	4.23
837	42.272500	-31.594167	4.46
838	42.923750	46.841944	5.88
839	42.878333	35.059722	4.53
840	42.462500	-23.439722	6.14
841	42.475833	-26.058333	5.39
842	43.216667	52.997778	6.36
843	42.873333	15.081944	5.49
844	42.561667	-34.156389	5.92
845	43.338333	48.569444	6.26
846	42.759583	-20.995833	4.75
