# BSCnumber	RA[deg]	dec[deg]	Vmagnitude	dist[pc]
480	63.387917	7.716111	5.29	33.333
481	63.485000	9.263611	4.84	34.483
482	64.179583	53.611944	5.19	90.909
483	66.761667	80.824167	5.43	71.429
484	63.598750	-9.743611	4.87	66.667
485	63.817917	-6.347222	4.43	4.785
486	63.500417	-41.705556	3.86	38.462
487	63.606250	-61.526111	3.35	76.923
488	64.006667	-50.513333	4.25	16.393
489	63.702917	-61.808056	5.45	166.667
490	64.948333	15.627500	3.65	35.714
491	64.120417	-58.698056	4.44	14.925
492	64.087917	-59.051389	6.37	66.667
493	64.762500	-32.095000	6.37	142.857
494	64.819167	-43.731944	5.34	200.000
495	65.362917	0.098056	5.86	125.000
496	65.162500	-19.360278	5.38	142.857
497	65.595000	20.821389	5.91	66.667
498	65.899583	42.428056	6.23	500.000
499	65.733750	17.542500	3.76	47.619
500	65.380417	-24.271667	6.01	17.544
501	66.155833	33.959722	5.76	200.000
502	66.024167	17.443889	4.80	58.824
503	65.966250	9.460833	5.12	1000.000
504	65.920000	-2.254444	5.17	76.923
505	66.342083	22.293889	4.22	40.000
506	66.372500	17.928056	4.29	52.632
507	66.405417	15.940833	6.46	26.316
508	66.577083	22.813611	4.28	27.778
509	66.009167	-33.983056	3.96	125.000
510	66.586667	15.618333	4.49	142.857
511	65.472083	-62.613611	5.24	62.500
512	66.651667	14.713611	4.69	71.429
513	66.870000	11.212500	5.88	333.333
514	66.050833	-56.928611	6.29	23.810
515	67.216250	30.361389	6.40	62.500
516	67.154167	19.180278	3.53	50.000
517	66.737500	-23.918611	6.11	52.632
518	67.143750	15.962222	3.84	26.316
519	67.165417	15.870833	3.40	34.483
520	68.007500	53.910833	5.77	166.667
521	66.775000	-45.052500	6.10	31.250
522	67.535833	15.638056	5.58	32.258
523	67.640417	16.193889	4.78	18.868
524	67.969583	0.043889	4.91	111.111
525	68.387083	18.016667	6.25	500.000
526	68.462083	14.844444	4.65	38.462
527	68.548333	-7.768611	5.11	166.667
528	68.548750	-7.029722	5.26	100.000
529	68.377500	-28.233333	4.51	35.714
530	69.172500	41.264722	4.25	62.500
531	68.980000	16.509167	0.85	20.833
532	68.913750	10.160833	4.25	27.778
533	68.887500	-29.437778	3.82	71.429
534	68.499167	-54.955000	3.27	55.556
535	69.992083	53.473056	5.35	52.632
536	69.977917	53.079722	5.05	125.000
537	71.501250	76.611111	6.49	66.667
538	69.623333	26.940000	6.47	47.619
539	69.539583	12.510833	4.27	41.667
540	69.400417	-1.526667	5.23	29.412
541	69.788333	15.799722	5.07	47.619
542	69.818750	15.918056	4.69	50.000
543	69.545000	-13.696111	3.87	22.727
544	69.723333	-11.876944	5.01	35.714
545	70.825417	59.520833	6.50	200.000
546	69.832083	-13.640833	5.45	142.857
547	70.459583	38.280278	5.99	45.455
548	72.209583	75.941111	6.06	47.619
549	70.726250	43.365000	5.29	55.556
550	70.110417	-18.328333	4.32	125.000
551	70.561250	22.956944	4.28	58.824
552	70.140417	-40.136111	4.45	22.222
553	70.514583	-36.855556	5.05	17.241
554	70.076250	-57.056389	6.53	15.625
555	70.894167	-7.206389	6.82	125.000
556	70.896250	-7.203889	6.70	125.000
557	72.001250	56.757222	5.30	76.923
558	71.507083	11.705556	5.37	200.000
559	75.086250	81.193889	5.07	50.000
560	73.021667	63.505278	5.44	1000.000
561	71.087917	-58.267222	5.27	41.667
562	71.901250	-15.065556	5.51	12.658
563	72.477500	37.488333	4.88	40.000
564	72.151250	-4.326111	5.78	26.316
565	73.512500	66.342778	4.29	500.000
566	72.460000	6.961389	3.19	8.000
567	72.652917	8.900278	4.36	27.778
568	72.843750	18.839722	5.10	45.455
569	72.548333	-15.782778	5.03	43.478
570	72.801667	5.605000	3.69	1000.000
571	73.133333	14.250556	4.74	250.000
572	73.223750	-4.547222	4.39	76.923
573	73.345000	2.508056	5.33	100.000
574	73.562917	2.440556	3.72	333.333
575	74.248333	33.166111	2.69	47.619
576	74.092917	13.514444	4.07	52.632
577	76.165833	74.066944	5.96	100.000
578	74.814167	37.890278	4.94	200.000
579	75.710000	66.822778	6.19	29.412
580	75.076250	39.394722	5.95	47.619
581	74.637083	1.714167	4.47	55.556
582	75.854583	60.442222	4.03	111.111
583	74.755417	-15.624167	5.66	35.714
584	75.492083	43.823333	2.99	142.857
585	74.982500	-11.462500	4.79	45.455
586	75.619583	41.075833	3.75	200.000
587	75.204167	-4.246667	6.22	9.091
588	75.500000	1.608889	6.24	76.923
589	75.773750	21.590000	4.64	52.632
590	75.540833	-25.725000	5.02	142.857
591	73.796667	-73.063056	5.47	38.462
592	77.402917	69.639444	6.41	142.857
593	76.669167	51.597778	5.00	19.231
594	76.142083	15.404167	4.68	55.556
595	76.628750	41.234444	3.17	45.455
596	76.383750	19.806389	6.44	125.000
597	78.093333	73.946667	5.43	41.667
598	77.435417	64.919444	6.41	41.667
599	75.702500	-48.848611	5.38	18.182
600	76.101667	-34.516667	4.55	76.923
601	76.365417	-21.628889	3.19	90.909
602	76.862500	18.645000	5.00	16.393
603	76.690417	-3.345000	5.12	41.667
604	76.951667	20.418333	5.30	142.857
605	76.909583	9.471944	6.17	30.303
606	76.241667	-48.422222	5.03	111.111
607	76.970417	8.498333	5.34	250.000
608	76.962500	-4.913611	2.79	20.000
609	77.678750	46.962222	5.68	37.037
610	77.578750	37.301944	6.02	500.000
611	77.437917	28.030556	6.01	125.000
612	77.331667	9.829444	5.43	90.909
613	77.181667	-3.543889	5.12	20.000
614	76.377500	-56.527222	4.72	11.765
615	77.425000	15.597222	4.82	250.000
616	75.679167	-70.685556	5.31	76.923
617	77.286667	-7.245833	4.27	333.333
618	80.639583	79.231111	5.05	18.519
619	78.357083	38.484444	4.86	43.478
620	77.938750	1.036944	5.89	500.000
621	76.891667	-62.600278	5.20	55.556
622	78.322917	2.861111	4.46	100.000
623	78.381667	1.968056	6.09	250.000
624	78.232917	-15.794444	3.31	43.478
625	78.307917	-11.058611	4.36	29.412
626	78.851667	32.687778	5.02	142.857
627	79.172500	45.998056	0.08	13.699
628	79.075833	34.311944	5.96	250.000
629	78.634583	-7.798333	0.12	76.923
630	79.566250	42.792222	5.48	142.857
631	79.544583	33.371667	4.54	71.429
632	79.785417	40.099167	4.71	15.152
633	79.401667	-5.155556	3.60	166.667
634	80.061667	41.086111	5.52	90.909
635	79.819167	22.096389	4.94	100.000
636	79.811250	20.134722	6.08	66.667
637	79.371250	-33.104722	4.83	55.556
638	78.439167	-66.814722	4.83	166.667
639	79.796667	2.595833	5.34	45.455
640	79.710000	-17.870000	5.96	15.385
641	80.865833	57.544444	5.28	43.478
642	80.112083	-20.760556	4.71	500.000
643	79.842083	-49.393889	5.45	43.478
644	80.442500	-23.226944	5.06	250.000
645	81.163333	37.385556	4.99	333.333
646	80.827083	-7.584167	5.90	76.923
647	81.105833	17.383333	4.99	14.925
648	80.964167	0.867222	6.11	47.619
649	80.986667	-6.191944	4.14	90.909
650	81.120417	0.891389	5.08	47.619
651	81.119167	-1.603056	3.36	142.857
652	81.282917	6.349722	1.64	34.483
653	81.572917	28.607500	1.65	35.714
654	81.380000	0.544167	6.57	500.000
655	81.912083	34.475833	5.07	111.111
656	81.709167	3.095556	4.59	62.500
657	81.192500	-51.683611	6.27	250.000
658	82.318750	25.150556	5.47	71.429
659	82.236250	-2.692500	6.39	333.333
660	83.140833	57.221111	6.48	83.333
661	82.061250	-19.240556	2.84	50.000
662	82.433333	-0.907778	4.71	166.667
663	81.580417	-57.087500	5.14	83.333
664	82.696250	5.948056	4.20	200.000
665	82.810417	3.292222	5.46	1000.000
666	83.053333	18.594444	4.38	500.000
667	83.059167	17.058056	5.46	111.111
668	82.781667	-19.136389	5.55	62.500
669	83.002083	0.284444	6.85	71.429
670	83.001667	0.299167	2.23	71.429
671	84.312917	64.154722	6.15	142.857
672	81.750000	-67.377222	6.03	83.333
673	82.802917	-34.529444	3.87	125.000
674	83.280000	-0.281667	6.46	500.000
675	83.182500	-16.177778	2.58	142.857
676	83.569583	3.766944	5.36	71.429
677	83.213750	-37.486944	5.48	125.000
